season	StartDate	EndDate	Length	TempScore	TempMsng	SnowScore	SnowMsng	AWSSI	YEAR
1951	11/21/1950	3/22/1951	122	242	(0/0)	135	(0/0)	377	1951
1952	11/2/1951	3/25/1952	145	293	(0/1)	359	(0/0)	652	1952
1953	11/9/1952	4/14/1953	157	227	(1/0)	200	(0/0)	427	1953
1954	12/1/1953	4/1/1954	122	270	(0/0)	149	(4/0)	419	1954
1955	11/26/1954	4/4/1955	130	307	(0/0)	163	(1/0)	470	1955
1956	11/19/1955	4/23/1956	157	392	(0/1)	455	(1/1)	847	1956
1957	11/18/1956	4/13/1957	147	306	(0/5)	370	(0/0)	676	1957
1958	10/27/1957	4/12/1958	168	295	(5/2)	428	(0/0)	723	1958
1959	11/30/1958	3/29/1959	120	427	(0/0)	181	(0/7)	608	1959
1960	11/17/1959	3/27/1960	132	301	(0/0)	339	(0/1)	640	1960
1961	10/24/1960	4/19/1961	178	419	(0/0)	607	(2/0)	1026	1961
1962	11/20/1961	4/16/1962	148	359	(0/0)	412	(0/2)	771	1962
1963	10/26/1962	3/24/1963	150	407	(0/0)	300	(0/0)	707	1963
1964	10/30/1963	3/22/1964	145	339	(0/0)	491	(0/0)	830	1964
1965	11/22/1964	4/19/1965	149	385	(0/0)	331	(0/0)	716	1965
1966	12/1/1965	3/16/1966	106	284	(0/0)	420	(0/0)	704	1966
1967	12/1/1966	4/24/1967	145	345	(0/0)	494	(0/0)	839	1967
1968	11/7/1967	3/16/1968	131	406	(0/0)	429	(0/0)	835	1968
1969	11/10/1968	4/1/1969	143	354	(0/0)	653	(0/0)	1007	1969
1970	11/22/1969	4/2/1970	132	419	(0/0)	427	(0/0)	846	1970
1971	11/25/1970	4/17/1971	144	425	(0/0)	444	(0/0)	869	1971
1972	11/21/1971	4/21/1972	153	368	(0/0)	307	(0/0)	675	1972
1973	10/19/1972	3/23/1973	156	291	(0/0)	103	(0/0)	394	1973
1974	12/1/1973	4/11/1974	132	303	(0/0)	226	(0/0)	529	1974
1975	11/21/1974	4/26/1975	157	281	(0/0)	252	(0/0)	533	1975
1976	11/24/1975	3/20/1976	118	341	(0/0)	291	(0/0)	632	1976
1977	11/9/1976	5/11/1977	184	456	(0/0)	590	(0/0)	1046	1977
1978	11/27/1977	4/7/1978	132	416	(0/0)	684	(0/0)	1100	1978
1979	11/21/1978	4/9/1979	140	401	(0/0)	159	(0/0)	560	1979
1980	10/10/1979	3/26/1980	169	340	(0/0)	79	(0/0)	419	1980
1981	11/17/1980	3/21/1981	125	427	(0/0)	273	(0/0)	700	1981
1982	12/1/1981	4/12/1982	133	404	(0/0)	437	(0/0)	841	1982
1983	12/1/1982	3/12/1983	102	236	(0/0)	330	(0/0)	566	1983
1984	12/1/1983	4/5/1984	127	348	(0/0)	267	(0/0)	615	1984
1985	11/13/1984	4/8/1985	147	343	(0/0)	264	(0/0)	607	1985
1986	11/16/1985	3/21/1986	126	334	(0/0)	125	(0/0)	459	1986
1987	11/11/1986	4/30/1987	171	325	(0/0)	531	(0/0)	856	1987
1988	11/10/1987	3/21/1988	133	317	(0/0)	358	(0/0)	675	1988
1989	12/1/1988	4/8/1989	129	309	(0/0)	138	(0/0)	447	1989
1990	11/20/1989	4/7/1990	139	394	(0/0)	267	(0/0)	661	1990
1991	11/8/1990	3/30/1991	143	258	(0/0)	118	(0/0)	376	1991
1992	11/11/1991	4/17/1992	159	335	(0/0)	105	(0/0)	440	1992
1993	11/15/1992	4/27/1993	164	364	(0/0)	424	(0/0)	788	1993
1994	11/24/1993	3/30/1994	127	426	(0/0)	626	(0/0)	1052	1994
1995	11/23/1994	4/5/1995	134	279	(0/0)	90	(0/0)	369	1995
1996	11/13/1995	4/13/1996	153	400	(0/0)	690	(0/0)	1090	1996
1997	11/15/1996	4/9/1997	146	282	(0/0)	219	(0/0)	501	1997
1998	11/14/1997	4/10/1998	148	202	(0/0)	245	(1/0)	447	1998
1999	12/1/1998	3/18/1999	108	245	(0/0)	198	(0/0)	443	1999
2000	12/1/1999	4/27/2000	149	300	(0/0)	231	(0/0)	531	2000
2001	10/30/2000	4/19/2001	172	373	(0/0)	556	(0/0)	929	2001
2002	12/1/2001	4/26/2002	147	181	(0/0)	132	(0/0)	313	2002
2003	10/23/2002	4/10/2003	170	482	(0/0)	714	(0/0)	1196	2003
2004	10/23/2003	4/5/2004	166	414	(0/0)	260	(0/0)	674	2004
2005	11/13/2004	4/13/2005	152	350	(0/0)	662	(0/0)	1012	2005
2006	10/30/2005	4/6/2006	159	286	(0/0)	224	(0/0)	510	2006
2007	12/1/2006	4/5/2007	126	311	(0/0)	102	(0/0)	413	2007
2008	11/20/2007	3/29/2008	131	290	(0/0)	305	(0/0)	595	2008
2009	11/20/2008	4/11/2009	143	369	(0/0)	436	(2/0)	805	2009
2010	10/18/2009	3/26/2010	160	247	(0/0)	316	(0/0)	563	2010
2011	11/8/2010	4/2/2011	146	326	(0/0)	672	(0/0)	998	2011
2012	10/27/2011	3/7/2012	133	176	(0/0)	84	(0/1)	260	2012
2013	11/7/2012	3/26/2013	140	235	(0/0)	392	(0/0)	627	2013
2014	11/13/2013	4/16/2014	155	437	(0/0)	455	(0/0)	892	2014
2015	11/3/2014	4/3/2015	152	481	(0/0)	936	(0/0)	1417	2015
2016	12/1/2015	4/7/2016	129	213	(0/0)	208	(0/0)	421	2016
